Respondent ID,Collector ID,Start Date,End Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,What should the consequences be for a public official who encourages a foreign power to intervene in an upcoming domestic election in their favor?,Impeachment is the first step in the process of removing a president from office. Do you think the House of Representatives should impeach President Trump?,How familiar would you say you are with the situation stemming from President Trump's conversation with Ukrainian President Zelensky related to Democratic candidate Joe Biden?,Do you believe launching a formal impeachment inquiry into President Trump will overall work out in Democrats' favor electorally?,Do you believe launching a formal impeachment inquiry into President Trump for soliciting foreign interference in a US election is the right thing to do?,Age,Gender,Household Income,Region,Device Type
11020704214,247023108,2019-09-26 00:41:42,2019-09-26 00:44:41,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,Definitely would,Definitely yes,30-44,Male,"$75,000-$99,999",West South Central,Android Phone / Tablet
11020701531,247023108,2019-09-26 00:40:31,2019-09-26 00:42:33,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Unsure / Don’t know,Black or African American,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Definitely would,Definitely yes,45-60,Male,"$50,000-$74,999",,iOS Phone / Tablet
11020700550,247023108,2019-09-26 00:40:20,2019-09-26 00:41:42,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,Asian or Asian American,I'm not sure at this time,I don't know,I don't know,Not at all familiar,I don't know,I don't know,30-44,Male,"$200,000+",Pacific,iOS Phone / Tablet
11020696069,247023108,2019-09-26 00:36:39,2019-09-26 00:42:40,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,American Indian or Alaska Native,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Definitely would,Definitely yes,45-60,Male,"$200,000+",South Atlantic,MacOS Desktop / Laptop
11020693821,247023108,2019-09-26 00:33:24,2019-09-26 00:35:46,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Definitely would not,Probably yes,45-60,Male,"$100,000-$124,999",West North Central,iOS Phone / Tablet
11020693004,247023108,2019-09-26 00:29:32,2019-09-26 00:35:04,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,45-60,Male,"$125,000-$149,999",Mountain,Android Phone / Tablet
11020679666,247023108,2019-09-26 00:20:31,2019-09-26 00:23:25,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly oppose impeachment,Very familiar,Definitely would not,Definitely not,45-60,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
11020673285,247023108,2019-09-26 00:17:06,2019-09-26 00:20:20,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,Definitely yes,45-60,Male,"$125,000-$149,999",,Windows Desktop / Laptop
11020673179,247023108,2019-09-26 00:14:17,2019-09-26 00:17:35,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately liberal,Yes,Black or African American,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,Definitely yes,30-44,Male,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11020673109,247023108,2019-09-26 00:14:38,2019-09-26 00:17:28,I don't know or I'd rather not say,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I don't know,I strongly support impeachment,Not at all familiar,Definitely would,Probably yes,18-29,Male,"$10,000-$24,999",West South Central,Android Phone / Tablet
11020669735,247023108,2019-09-26 00:12:45,2019-09-26 00:14:30,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly oppose impeachment,Somewhat familiar,Definitely would not,Probably not,> 60,Male,"$25,000-$49,999",Pacific,Android Phone / Tablet
11020667230,247023108,2019-09-25 23:48:47,2019-09-26 00:12:17,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Not at all familiar,I don't know,Definitely not,45-60,Female,"$75,000-$99,999",New England,iOS Phone / Tablet
11020662573,247023108,2019-09-26 00:07:40,2019-09-26 00:08:22,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Very familiar,Probably would not,Probably yes,18-29,Male,"$125,000-$149,999",Middle Atlantic,iOS Phone / Tablet
11020659016,247023108,2019-09-26 00:02:02,2019-09-26 00:05:23,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,American Indian or Alaska Native,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,Definitely yes,45-60,Female,"$50,000-$74,999",Mountain,iOS Phone / Tablet
11020658958,247023108,2019-09-26 00:02:40,2019-09-26 00:05:19,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I don't know,I strongly oppose impeachment,Not so familiar,Definitely would,Definitely not,45-60,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
11020658810,247023108,2019-09-26 00:01:44,2019-09-26 00:05:10,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I oppose impeachment,Very familiar,Definitely would not,Definitely not,45-60,Female,"$50,000-$74,999",Pacific,Android Phone / Tablet
11020657578,247023108,2019-09-26 00:03:28,2019-09-26 00:10:09,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly oppose impeachment,Very familiar,Definitely would not,Definitely not,> 60,Male,"$125,000-$149,999",West South Central,MacOS Desktop / Laptop
11020656814,247023108,2019-09-25 23:52:46,2019-09-26 00:03:26,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Definitely would,Definitely yes,> 60,Male,"$0-$9,999",East North Central,Android Phone / Tablet
11020655948,247023108,2019-09-25 23:59:10,2019-09-26 00:02:39,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,I don't know,Definitely yes,45-60,Female,"$50,000-$74,999",West North Central,iOS Phone / Tablet
11020655578,247023108,2019-09-26 00:01:17,2019-09-26 00:06:05,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,Probably would,Definitely yes,> 60,Female,"$25,000-$49,999",Pacific,Windows Desktop / Laptop
11020654924,247023108,2019-09-25 23:57:21,2019-09-26 00:01:42,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I don't know,I strongly support impeachment,Not at all familiar,I don't know,Definitely yes,45-60,Female,"$0-$9,999",West North Central,Android Phone / Tablet
11020654801,247023108,2019-09-26 00:00:09,2019-09-26 00:11:42,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I don't know,I oppose impeachment,Not at all familiar,Probably would not,Probably not,> 60,Female,"$125,000-$149,999",South Atlantic,iOS Phone / Tablet
11020654729,247023108,2019-09-25 23:56:26,2019-09-26 00:01:35,I don't know or I'd rather not say,Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Somewhat familiar,I don't know,Probably yes,> 60,Female,Prefer not to answer,Mountain,Android Phone / Tablet
11020654628,247023108,2019-09-25 23:59:05,2019-09-26 00:03:15,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Black or African American,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",,,,,,,,,
11020653735,247023108,2019-09-25 23:58:50,2019-09-26 00:01:27,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Very liberal,Yes,White or Caucasian,Neither / I don't intend to vote.,I don't know,I don't know,Extremely familiar,Definitely would,Definitely yes,45-60,Female,"$50,000-$74,999",East North Central,Android Phone / Tablet
11020653711,247023108,2019-09-25 23:47:46,2019-09-26 00:00:43,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Extremely familiar,Definitely would not,Probably not,45-60,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11020653242,247023108,2019-09-25 23:59:10,2019-09-26 00:00:19,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly support impeachment,Extremely familiar,Definitely would,Definitely yes,45-60,Female,"$25,000-$49,999",West South Central,iOS Phone / Tablet
11020653016,247023108,2019-09-25 23:53:24,2019-09-26 00:00:08,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,I don't know,Definitely yes,45-60,Female,"$50,000-$74,999",East North Central,iOS Phone / Tablet
11020652119,247023108,2019-09-25 23:55:32,2019-09-25 23:59:20,I don't know or I'd rather not say,I don't know or I'd rather not say,Yes,White or Caucasian,I'm not sure at this time,I don't know,I don't know,Somewhat familiar,I don't know,I don't know,45-60,Male,Prefer not to answer,Mountain,Android Phone / Tablet
11020651816,247023108,2019-09-25 23:56:48,2019-09-25 23:59:05,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Not so familiar,Definitely would not,Probably not,30-44,Male,"$75,000-$99,999",East North Central,Android Phone / Tablet
11020651162,247023108,2019-09-25 23:56:59,2019-09-25 23:58:33,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I don't know,I neither support nor oppose impeachment,Not at all familiar,I don't know,I don't know,45-60,Female,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
11020650746,247023108,2019-09-25 23:54:50,2019-09-25 23:58:13,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,Probably would,Definitely yes,18-29,Male,Prefer not to answer,Mountain,Android Phone / Tablet
11020650682,247023108,2019-09-25 23:57:30,2019-09-26 00:00:52,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Very familiar,Probably would not,Probably yes,45-60,Female,"$10,000-$24,999",East North Central,Windows Desktop / Laptop
11020650094,247023108,2019-09-25 23:57:08,2019-09-26 00:00:14,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I oppose impeachment,Not at all familiar,I don't know,I don't know,45-60,Female,Prefer not to answer,Middle Atlantic,Android Phone / Tablet
11020649421,247023108,2019-09-25 23:52:30,2019-09-25 23:57:01,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I don't know,Not so familiar,I don't know,Probably yes,45-60,Male,"$25,000-$49,999",Pacific,Android Phone / Tablet
11020649023,247023108,2019-09-25 23:55:50,2019-09-25 23:59:46,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Definitely would,Definitely yes,45-60,Female,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
11020648814,247023108,2019-09-25 23:53:10,2019-09-25 23:56:28,"Yes, I will likely vote in my state's Republican primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,I don't know,Probably yes,45-60,Female,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
11020648587,247023108,2019-09-25 23:51:46,2019-09-25 23:56:20,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,I don't know,I don't know,Somewhat familiar,Probably would,Probably not,45-60,Female,Prefer not to answer,East North Central,iOS Phone / Tablet
11020648489,247023108,2019-09-25 23:53:59,2019-09-25 23:56:15,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Yes,Black or African American,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I don't know,Not so familiar,Probably would not,Probably not,45-60,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11020645525,247023108,2019-09-25 23:50:41,2019-09-25 23:53:48,I don't know or I'd rather not say,Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,I don't know,I don't know,Not so familiar,I don't know,I don't know,30-44,Male,"$25,000-$49,999",Middle Atlantic,iOS Phone / Tablet
11020645506,247023108,2019-09-25 23:50:36,2019-09-25 23:53:47,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly support impeachment,Very familiar,Probably would,Definitely yes,30-44,Male,"$100,000-$124,999",East North Central,iOS Phone / Tablet
11020645035,247023108,2019-09-25 23:46:22,2019-09-25 23:53:23,I don't know or I'd rather not say,Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I strongly oppose impeachment,Very familiar,Probably would not,Definitely not,> 60,Female,"$25,000-$49,999",West North Central,iOS Phone / Tablet
11020644139,247023108,2019-09-25 23:50:34,2019-09-25 23:52:37,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I don't know,I strongly oppose impeachment,Not at all familiar,Definitely would not,Definitely not,30-44,Male,"$25,000-$49,999",West South Central,iOS Phone / Tablet
11020643778,247023108,2019-09-25 23:51:45,2019-09-25 23:55:38,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Probably would,Probably yes,> 60,Female,"$175,000-$199,999",West North Central,iOS Phone / Tablet
11020643669,247023108,2019-09-25 23:50:00,2019-09-25 23:55:03,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,> 60,Male,"$10,000-$24,999",West South Central,MacOS Desktop / Laptop
11020643588,247023108,2019-09-25 23:49:59,2019-09-25 23:52:09,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,45-60,Female,"$25,000-$49,999",East South Central,Android Phone / Tablet
11020643162,247023108,2019-09-25 23:50:38,2019-09-25 23:56:27,I don't know or I'd rather not say,Moderately liberal,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Somewhat familiar,I don't know,Probably not,> 60,Female,"$75,000-$99,999",East North Central,Windows Desktop / Laptop
11020642296,247023108,2019-09-25 23:50:32,2019-09-25 23:51:04,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Somewhat familiar,Probably would,Probably yes,30-44,Male,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
11020641703,247023108,2019-09-25 23:31:22,2019-09-25 23:50:34,I don't know or I'd rather not say,Slightly conservative,Yes,White or Caucasian,I'm not sure at this time,I don't know,I neither support nor oppose impeachment,Not so familiar,Probably would not,Probably not,45-60,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
11020641484,247023108,2019-09-25 23:47:20,2019-09-25 23:50:22,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,Probably would not,Probably yes,30-44,Male,"$200,000+",Middle Atlantic,Android Phone / Tablet
11020640569,247023108,2019-09-25 23:47:54,2019-09-25 23:49:39,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Unsure / Don’t know,American Indian or Alaska Native,Neither / I don't intend to vote.,"I think that merits investigation and possibly censure, penalties or discipline",I don't know,Somewhat familiar,Probably would,Probably yes,45-60,Female,"$0-$9,999",Middle Atlantic,Android Phone / Tablet
11020638557,247023108,2019-09-25 23:47:30,2019-09-25 23:50:19,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I oppose impeachment,Somewhat familiar,Probably would not,Probably yes,> 60,Female,"$50,000-$74,999",West South Central,Android Phone / Tablet
11020638519,247023108,2019-09-25 23:43:08,2019-09-25 23:47:57,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,I don't know,Definitely yes,45-60,Female,"$50,000-$74,999",Pacific,iOS Phone / Tablet
11020637531,247023108,2019-09-25 23:46:22,2019-09-25 23:50:53,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Extremely familiar,Probably would not,Probably not,45-60,Female,"$50,000-$74,999",West South Central,Android Phone / Tablet
11020636959,247023108,2019-09-25 23:39:23,2019-09-25 23:46:43,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,I don't know,Definitely yes,> 60,Female,"$10,000-$24,999",Pacific,Android Phone / Tablet
11020636789,247023108,2019-09-25 23:44:44,2019-09-25 23:46:33,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly liberal,Unsure / Don’t know,American Indian or Alaska Native,Neither / I don't intend to vote.,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Somewhat familiar,Probably would,Probably yes,45-60,Female,"$0-$9,999",Middle Atlantic,Android Phone / Tablet
11020636703,247023108,2019-09-25 23:42:29,2019-09-25 23:46:29,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Somewhat familiar,Probably would not,Probably not,45-60,Female,"$50,000-$74,999",New England,iOS Phone / Tablet
11020635017,247023108,2019-09-25 23:44:26,2019-09-25 23:47:53,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Not so familiar,Probably would,Probably not,> 60,Male,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11020634854,247023108,2019-09-25 23:44:31,2019-09-25 23:47:50,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Unsure / Don’t know,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Definitely yes,45-60,Female,Prefer not to answer,Mountain,Windows Desktop / Laptop
11020633648,247023108,2019-09-25 23:40:44,2019-09-25 23:43:52,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Extremely familiar,I don't know,I don't know,45-60,Female,"$50,000-$74,999",East North Central,iOS Phone / Tablet
11020633598,247023108,2019-09-25 23:39:57,2019-09-25 23:43:56,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Somewhat familiar,Definitely would,Probably not,45-60,Female,"$50,000-$74,999",East North Central,iOS Phone / Tablet
11020632369,247023108,2019-09-25 23:42:08,2019-09-25 23:48:23,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,Probably would,Definitely yes,> 60,Female,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
11020631386,247023108,2019-09-25 23:41:23,2019-09-25 23:42:10,I don't know or I'd rather not say,Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,I do not think that warrants any action,I strongly support impeachment,Extremely familiar,I don't know,Probably not,45-60,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11020631239,247023108,2019-09-25 23:39:05,2019-09-25 23:42:03,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,Another race,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Probably would,Definitely yes,45-60,Female,"$75,000-$99,999",West South Central,iOS Phone / Tablet
11020631097,247023108,2019-09-25 23:41:15,2019-09-25 23:44:08,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,Black or African American,Neither / I don't intend to vote.,"I think that merits investigation and possibly censure, penalties or discipline",I strongly support impeachment,Not so familiar,Probably would,Probably yes,> 60,Male,"$0-$9,999",Pacific,Android Phone / Tablet
11020630565,247023108,2019-09-25 23:40:07,2019-09-25 23:41:31,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Democratic nominee,I do not think that warrants any action,I strongly support impeachment,Extremely familiar,Definitely would,Definitely yes,> 60,Female,"$10,000-$24,999",,iOS Phone / Tablet
11020630498,247023108,2019-09-25 23:39:38,2019-09-25 23:42:30,I don't know or I'd rather not say,Neither liberal nor conservative,No,American Indian or Alaska Native,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Somewhat familiar,Probably would,Probably yes,45-60,Female,"$0-$9,999",Pacific,Android Phone / Tablet
11020630437,247023108,2019-09-25 23:40:32,2019-09-25 23:45:59,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,> 60,Female,"$50,000-$74,999",Pacific,iOS Phone / Tablet
11020629975,247023108,2019-09-25 23:34:41,2019-09-25 23:41:04,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Slightly liberal,No,White or Caucasian,Neither / I don't intend to vote.,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Very familiar,Probably would not,Probably not,45-60,Female,"$125,000-$149,999",Pacific,iOS Phone / Tablet
11020629832,247023108,2019-09-25 23:28:18,2019-09-25 23:40:59,"Yes, I will likely vote in my state's Republican primary or caucus",I don't know or I'd rather not say,Yes,American Indian or Alaska Native,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,45-60,Male,"$200,000+",Mountain,iOS Phone / Tablet
11020629685,247023108,2019-09-25 23:40:15,2019-09-25 23:41:35,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,,,,,,,,,,
11020629503,247023108,2019-09-25 23:39:58,2019-09-25 23:43:10,I don't know or I'd rather not say,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,,,,,,,,,
11020629406,247023108,2019-09-25 23:40:02,2019-09-25 23:44:57,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Probably would not,Definitely yes,> 60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
11020629171,247023108,2019-09-25 23:36:28,2019-09-25 23:40:30,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Definitely would,Definitely yes,45-60,Female,"$0-$9,999",East North Central,Android Phone / Tablet
11020628594,247023108,2019-09-25 23:21:03,2019-09-25 23:40:03,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Not so familiar,Probably would,Definitely yes,45-60,Female,"$25,000-$49,999",East South Central,iOS Phone / Tablet
11020628241,247023108,2019-09-25 23:35:06,2019-09-25 23:39:46,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,Probably would,Probably yes,> 60,Female,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
11020628141,247023108,2019-09-25 23:33:59,2019-09-25 23:39:41,I don't know or I'd rather not say,Slightly conservative,Yes,White or Caucasian,I'm not sure at this time,I don't know,I oppose impeachment,Somewhat familiar,Probably would not,Probably not,45-60,Female,"$75,000-$99,999",East North Central,Android Phone / Tablet
11020627995,247023108,2019-09-25 23:37:59,2019-09-25 23:39:34,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I think the matter should be looked into but don't see any immediate issue,I neither support nor oppose impeachment,Somewhat familiar,Probably would,Probably yes,45-60,Male,"$125,000-$149,999",Pacific,iOS Phone / Tablet
11020627818,247023108,2019-09-25 23:38:25,2019-09-25 23:44:07,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Probably would,Definitely yes,> 60,Female,"$100,000-$124,999",Pacific,Android Phone / Tablet
