Respondent ID,Start Date,End Date,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Do you think you will participate in the 2020 presidential primary?,Have you had student loans?,"A proposal would cancel $50,000 of student loan debt for those in households making less than $100,000 per year. For households earning between with $100,000 and $250,000, the proposal would cancel a sliding amount of student loan debt. Those earning $250,000 or more would not have debt cancelled. The plan would also end the taxation of canceled debt as income, and would make private loans eligible for debt cancellation.How do you feel about this plan?",Age,Gender,Household Income,Region,Device Type
10691144071,2019-04-27 2:45:54,2019-04-27 2:49:32,Neither liberal nor conservative,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I didn't attend college or grad school",I don't know,45-60,Male,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10691143600,2019-04-27 2:44:30,2019-04-27 2:51:45,Moderately liberal,Yes,White or Caucasian,I don't know or I'd rather not say,"Yes, but I finished paying off those loans.",Neither support nor oppose,> 60,Female,Prefer not to answer,South Atlantic,Windows Desktop / Laptop
10691142898,2019-04-27 2:43:43,2019-04-27 2:46:08,Very conservative,Yes,Black or African American,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, I am currently paying off my student loan.",Neither support nor oppose,> 60,Female,"$25,000-$49,999",East North Central,Other
10691142409,2019-04-27 2:42:29,2019-04-27 2:48:45,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,> 60,Male,"$25,000-$49,999",West South Central,Windows Desktop / Laptop
10691141880,2019-04-27 2:39:58,2019-04-27 10:12:03,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Somewhat support,45-60,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
10691140583,2019-04-27 2:39:24,2019-04-27 2:42:47,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Male,"$200,000+",Pacific,MacOS Desktop / Laptop
10691140482,2019-04-27 2:39:00,2019-04-27 2:43:16,Moderately liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Oppose,45-60,Female,"$75,000-$99,999",Middle Atlantic,Android Phone / Tablet
10691139688,2019-04-27 2:37:11,2019-04-27 2:44:07,Neither liberal nor conservative,Yes,Another race,I don't know or I'd rather not say,"Yes, I am currently paying off my student loan.",Strongly support,> 60,Female,Prefer not to answer,Pacific,iOS Phone / Tablet
10691139200,2019-04-27 2:36:46,2019-04-27 2:40:34,Neither liberal nor conservative,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Support,45-60,Female,"$25,000-$49,999",West North Central,Android Phone / Tablet
10691139145,2019-04-27 2:36:43,2019-04-27 2:38:17,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",,,,,,,
10691138730,2019-04-27 2:35:07,2019-04-27 2:41:32,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",I don't know,45-60,Female,"$50,000-$74,999",West North Central,iOS Phone / Tablet
10691138656,2019-04-27 2:35:20,2019-04-27 2:47:21,Slightly conservative,Yes,Black or African American,I don't know or I'd rather not say,"Yes, but I finished paying off those loans.",Neither support nor oppose,> 60,Male,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop
10691137952,2019-04-27 2:34:42,2019-04-27 2:41:27,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,> 60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691137054,2019-04-27 2:33:11,2019-04-27 2:37:03,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Somewhat support,> 60,Female,"$50,000-$74,999",Pacific,MacOS Desktop / Laptop
10691136595,2019-04-27 2:31:57,2019-04-27 2:39:32,Neither liberal nor conservative,No,White or Caucasian,I don't know or I'd rather not say,"Yes, but I finished paying off those loans.",Strongly support,45-60,Female,"$50,000-$74,999",West South Central,Android Phone / Tablet
10691135823,2019-04-27 2:30:40,2019-04-27 2:34:58,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",,,,,,,
10691135443,2019-04-27 2:29:38,2019-04-27 2:31:27,Slightly liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus",,,,,,,
10691135340,2019-04-27 2:30:23,2019-04-27 2:33:06,Moderately liberal,Yes,Another race,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Strongly support,45-60,Female,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10691135187,2019-04-27 2:29:59,2019-04-27 2:33:40,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Strongly oppose,45-60,Male,"$100,000-$124,999",Middle Atlantic,Windows Desktop / Laptop
10691134235,2019-04-27 2:28:24,2019-04-27 2:31:01,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Support,18-29,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
10691133674,2019-04-27 2:26:50,2019-04-27 2:30:12,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",,,,,,,
10691133620,2019-04-27 2:27:27,2019-04-27 2:28:38,Neither liberal nor conservative,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know,I don't know,45-60,Female,"$10,000-$24,999",East North Central,Android Phone / Tablet
10691132766,2019-04-27 2:26:04,2019-04-27 2:30:01,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly support,45-60,Male,"$175,000-$199,999",Pacific,iOS Phone / Tablet
10691131458,2019-04-27 2:24:02,2019-04-27 2:28:11,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",I am incurring student loans now,Somewhat support,45-60,Female,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10691130612,2019-04-27 2:22:45,2019-04-27 2:26:07,Neither liberal nor conservative,Yes,Black or African American,I don't know or I'd rather not say,"Yes, I am currently paying off my student loan.",Strongly support,45-60,Female,Prefer not to answer,South Atlantic,iOS Phone / Tablet
10691130589,2019-04-27 2:22:47,2019-04-27 2:25:02,I don't know or I'd rather not say,Yes,Native Hawaiian or other Pacific Islander,I don't know or I'd rather not say,"Yes, but I finished paying off those loans.",I don't know,45-60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691130262,2019-04-27 2:22:21,2019-04-27 2:24:36,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Strongly support,18-29,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691130162,2019-04-27 2:20:40,2019-04-27 2:26:30,I don't know or I'd rather not say,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Somewhat support,> 60,Female,"$50,000-$74,999",Middle Atlantic,Android Phone / Tablet
10691129466,2019-04-27 2:19:30,2019-04-27 2:24:53,Neither liberal nor conservative,Yes,Hispanic or Latino,I don't know or I'd rather not say,"No, I didn't attend college or grad school",Neither support nor oppose,45-60,Female,"$10,000-$24,999",Pacific,Android Phone / Tablet
10691129421,2019-04-27 2:21:00,2019-04-27 2:24:26,Very conservative,Yes,Hispanic or Latino,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Support,> 60,Female,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10691128563,2019-04-27 2:19:17,2019-04-27 2:23:18,Slightly conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Somewhat oppose,> 60,Female,"$25,000-$49,999",Mountain,iOS Phone / Tablet
10691126297,2019-04-27 2:15:33,2019-04-27 2:19:03,I don't know or I'd rather not say,No,Hispanic or Latino,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Neither support nor oppose,45-60,Male,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10691126062,2019-04-27 2:13:50,2019-04-27 2:20:18,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Strongly support,45-60,Female,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
10691125255,2019-04-27 2:14:14,2019-04-27 2:17:03,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Somewhat support,45-60,Female,"$25,000-$49,999",East South Central,Android Phone / Tablet
10691124637,2019-04-27 2:13:07,2019-04-27 2:16:56,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Somewhat support,> 60,Female,"$25,000-$49,999",Middle Atlantic,iOS Phone / Tablet
10691124577,2019-04-27 2:12:46,2019-04-27 2:17:26,Slightly conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Oppose,> 60,Female,"$50,000-$74,999",New England,Windows Desktop / Laptop
10691123455,2019-04-27 2:10:45,2019-04-27 2:23:58,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Female,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691123165,2019-04-27 2:10:08,2019-04-27 2:16:21,Neither liberal nor conservative,Yes,Black or African American,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I didn't attend college or grad school",Strongly support,45-60,Female,"$0-$9,999",Middle Atlantic,Other
10691122484,2019-04-27 2:09:12,2019-04-27 2:12:18,I don't know or I'd rather not say,Yes,White or Caucasian,I don't know or I'd rather not say,"Yes, but I finished paying off those loans.",Neither support nor oppose,45-60,Female,"$150,000-$174,999",Pacific,iOS Phone / Tablet
10691122431,2019-04-27 2:08:45,2019-04-27 2:13:53,I don't know or I'd rather not say,Yes,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I didn't attend college or grad school",Strongly support,45-60,Female,"$25,000-$49,999",New England,Android Phone / Tablet
10691122281,2019-04-27 2:08:22,2019-04-27 2:16:46,Slightly liberal,Yes,Asian or Asian American,I don't know or I'd rather not say,"No, I did not need to take a loan to attend college",Support,45-60,Male,"$75,000-$99,999",Pacific,Android Phone / Tablet
10691121580,2019-04-27 2:07:12,2019-04-27 2:13:39,Slightly conservative,No,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,> 60,Female,"$75,000-$99,999",South Atlantic,Windows Desktop / Laptop
10691120846,2019-04-27 2:05:23,2019-04-27 2:14:42,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Female,Prefer not to answer,South Atlantic,iOS Phone / Tablet
10691120493,2019-04-27 2:05:28,2019-04-27 2:08:57,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Support,45-60,Female,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet
10691119841,2019-04-27 2:04:25,2019-04-27 2:06:55,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Support,45-60,Female,"$75,000-$99,999",East North Central,Android Phone / Tablet
10691119458,2019-04-27 2:02:37,2019-04-27 2:08:17,Neither liberal nor conservative,No,White or Caucasian,I don't know or I'd rather not say,"No, I didn't attend college or grad school",Somewhat support,45-60,Female,"$10,000-$24,999",East North Central,Android Phone / Tablet
10691119392,2019-04-27 2:03:38,2019-04-27 2:05:52,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Female,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691118677,2019-04-27 2:01:57,2019-04-27 2:09:02,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Female,Prefer not to answer,Middle Atlantic,iOS Phone / Tablet
10691118164,2019-04-27 2:01:09,2019-04-27 2:04:09,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Oppose,45-60,Male,"$25,000-$49,999",New England,iOS Phone / Tablet
10691117608,2019-04-27 2:00:04,2019-04-27 2:06:31,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Female,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
10691117607,2019-04-27 2:00:17,2019-04-27 2:04:00,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Support,45-60,Female,"$25,000-$49,999",Mountain,iOS Phone / Tablet
10691117363,2019-04-27 1:59:46,2019-04-27 2:02:35,Neither liberal nor conservative,No,White or Caucasian,I don't know or I'd rather not say,"Yes, I am currently paying off my student loan.",Neither support nor oppose,45-60,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10691117151,2019-04-27 1:59:31,2019-04-27 2:02:15,Very liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Somewhat support,45-60,Female,"$50,000-$74,999",Pacific,Android Phone / Tablet
10691116178,2019-04-27 1:57:19,2019-04-27 2:00:17,I don't know or I'd rather not say,Yes,White or Caucasian,I don't know or I'd rather not say,I don't know,I don't know,45-60,Male,Prefer not to answer,East North Central,iOS Phone / Tablet
10691115930,2019-04-27 1:56:56,2019-04-27 1:59:13,I don't know or I'd rather not say,Yes,Black or African American,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know,I don't know,45-60,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
10691115617,2019-04-27 1:55:26,2019-04-27 2:01:13,Neither liberal nor conservative,Yes,Another race,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Female,"$0-$9,999",Pacific,iOS Phone / Tablet
10691114900,2019-04-27 1:55:03,2019-04-27 1:59:15,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Support,45-60,Female,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
10691114813,2019-04-27 1:54:44,2019-04-27 2:05:52,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Somewhat support,> 60,Female,"$10,000-$24,999",East South Central,Android Phone / Tablet
10691114554,2019-04-27 1:54:40,2019-04-27 1:58:16,Slightly conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,45-60,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10691114534,2019-04-27 1:54:26,2019-04-27 1:57:06,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Support,45-60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691113592,2019-04-27 1:52:45,2019-04-27 1:56:29,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,45-60,Female,"$125,000-$149,999",South Atlantic,iOS Phone / Tablet
10691113305,2019-04-27 1:52:06,2019-04-27 1:55:35,Slightly liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Female,"$10,000-$24,999",Mountain,Android Phone / Tablet
10691113078,2019-04-27 1:52:01,2019-04-27 1:53:17,Slightly liberal,Yes,Asian or Asian American,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I didn't attend college or grad school",Neither support nor oppose,45-60,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691113060,2019-04-27 1:51:57,2019-04-27 1:53:54,Neither liberal nor conservative,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know,I don't know,45-60,Female,"$50,000-$74,999",East North Central,Android Phone / Tablet
10691112951,2019-04-27 1:51:48,2019-04-27 1:53:02,Neither liberal nor conservative,No,Asian or Asian American,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Neither support nor oppose,18-29,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
10691112858,2019-04-27 1:51:11,2019-04-27 1:57:18,Moderately liberal,Yes,Another race,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly support,45-60,Female,Prefer not to answer,New England,Android Phone / Tablet
10691112852,2019-04-27 1:51:24,2019-04-27 1:55:10,I don't know or I'd rather not say,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,45-60,Female,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10691112822,2019-04-27 1:51:09,2019-04-27 1:57:29,Very liberal,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Strongly support,45-60,Female,"$100,000-$124,999",Pacific,Android Phone / Tablet
10691111640,2019-04-27 1:48:56,2019-04-27 1:52:51,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Somewhat oppose,45-60,Female,"$50,000-$74,999",West South Central,iOS Phone / Tablet
10691111546,2019-04-27 1:48:55,2019-04-27 1:52:35,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Strongly oppose,45-60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691111132,2019-04-27 1:46:00,2019-04-27 1:50:26,Neither liberal nor conservative,Yes,White or Caucasian,I don't know or I'd rather not say,"Yes, I am currently paying off my student loan.",Support,45-60,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10691110919,2019-04-27 1:47:24,2019-04-27 1:52:01,Neither liberal nor conservative,Yes,Black or African American,I don't know or I'd rather not say,I am incurring student loans now,Support,45-60,Female,Prefer not to answer,East South Central,Android Phone / Tablet
10691110837,2019-04-27 1:47:39,2019-04-27 1:50:00,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Female,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
10691110792,2019-04-27 1:47:23,2019-04-27 1:53:34,Slightly conservative,Yes,Hispanic or Latino,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10691110079,2019-04-27 1:46:15,2019-04-27 1:52:07,Very liberal,Yes,Another race,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly support,> 60,Female,"$10,000-$24,999",Mountain,iOS Phone / Tablet
10691109911,2019-04-27 1:46:10,2019-04-27 1:48:31,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly oppose,45-60,Female,"$125,000-$149,999",Middle Atlantic,Android Phone / Tablet
10691109798,2019-04-27 1:39:53,2019-04-27 1:51:26,Neither liberal nor conservative,Yes,White or Caucasian,I don't know or I'd rather not say,"No, I did not need to take a loan to attend college",Somewhat support,45-60,Female,"$200,000+",Mountain,Windows Desktop / Laptop
10691109773,2019-04-27 1:45:16,2019-04-27 1:55:34,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,45-60,Female,"$75,000-$99,999",Mountain,iOS Phone / Tablet
10691109689,2019-04-27 1:45:38,2019-04-27 1:48:42,Moderately conservative,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Somewhat support,45-60,Male,"$175,000-$199,999",South Atlantic,iOS Phone / Tablet
10691109631,2019-04-27 1:44:39,2019-04-27 1:54:52,Moderately conservative,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus",,,,,,,
10691109050,2019-04-27 1:44:09,2019-04-27 1:45:26,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",,,,,,,
10691108632,2019-04-27 1:43:38,2019-04-27 1:47:34,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,> 60,Female,"$100,000-$124,999",New England,Android Phone / Tablet
10691108557,2019-04-27 1:42:34,2019-04-27 1:49:56,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly support,45-60,Male,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
10691108117,2019-04-27 1:42:34,2019-04-27 1:46:22,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Strongly support,> 60,Female,Prefer not to answer,Pacific,Windows Desktop / Laptop
10691107524,2019-04-27 1:41:34,2019-04-27 1:44:26,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, I am currently paying off my student loan.",Somewhat oppose,,,,,
10691107365,2019-04-27 1:40:35,2019-04-27 1:45:54,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Oppose,> 60,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10691107034,2019-04-27 1:39:48,2019-04-27 1:47:19,Neither liberal nor conservative,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,45-60,Female,"$50,000-$74,999",Pacific,Android Phone / Tablet
10691106814,2019-04-27 1:39:48,2019-04-27 1:46:42,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",I don't know,45-60,Female,"$50,000-$74,999",Pacific,iOS Phone / Tablet
10691106588,2019-04-27 1:39:24,2019-04-27 1:44:19,I don't know or I'd rather not say,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I did not need to take a loan to attend college",Somewhat support,45-60,Female,"$125,000-$149,999",Pacific,Windows Desktop / Laptop
10691106488,2019-04-27 1:39:26,2019-04-27 1:43:18,Slightly liberal,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Female,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
10691106461,2019-04-27 1:39:17,2019-04-27 1:45:14,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly support,> 60,Female,"$100,000-$124,999",Mountain,iOS Phone / Tablet
10691106373,2019-04-27 1:39:29,2019-04-27 1:42:24,Moderately liberal,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Somewhat oppose,45-60,Female,"$10,000-$24,999",New England,Android Phone / Tablet
10691106298,2019-04-27 1:38:30,2019-04-27 1:43:15,I don't know or I'd rather not say,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",I don't know,45-60,Female,Prefer not to answer,Pacific,Android Phone / Tablet
10691106080,2019-04-27 1:38:36,2019-04-27 1:44:32,Neither liberal nor conservative,Yes,Another race,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Neither support nor oppose,45-60,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10691105879,2019-04-27 1:38:36,2019-04-27 1:41:24,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus",I don't know,Support,45-60,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10691105575,2019-04-27 1:37:06,2019-04-27 1:48:37,Slightly conservative,Yes,White or Caucasian,I don't know or I'd rather not say,"No, I didn't attend college or grad school",Oppose,> 60,Female,"$75,000-$99,999",Pacific,Android Phone / Tablet
10691105484,2019-04-27 1:37:29,2019-04-27 1:42:40,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",Somewhat support,45-60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691104948,2019-04-27 1:36:37,2019-04-27 1:46:26,I don't know or I'd rather not say,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I did not need to take a loan to attend college",I don't know,> 60,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10691104382,2019-04-27 1:35:31,2019-04-27 1:39:56,I don't know or I'd rather not say,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,45-60,Male,"$50,000-$74,999",Mountain,iOS Phone / Tablet
10691104232,2019-04-27 1:35:19,2019-04-27 1:39:33,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Female,"$50,000-$74,999",East North Central,Android Phone / Tablet
10691103807,2019-04-27 1:34:49,2019-04-27 1:35:52,Moderately liberal,Yes,Hispanic or Latino,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Oppose,30-44,Male,"$50,000-$74,999",Pacific,iOS Phone / Tablet
10691103430,2019-04-27 1:34:05,2019-04-27 1:35:46,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus",I am incurring student loans now,Strongly support,45-60,Female,"$125,000-$149,999",Pacific,Android Phone / Tablet
10691103151,2019-04-27 1:32:23,2019-04-27 1:35:32,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Male,"$25,000-$49,999",Mountain,Android Phone / Tablet
10691102447,2019-04-27 1:30:53,2019-04-27 1:35:43,I don't know or I'd rather not say,No,Hispanic or Latino,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",,,,,,,
10691100094,2019-04-27 1:27:46,2019-04-27 1:30:47,Slightly conservative,No,Asian or Asian American,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,18-29,Male,"$10,000-$24,999",Pacific,iOS Phone / Tablet
10691099386,2019-04-27 1:25:44,2019-04-27 1:36:47,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Oppose,> 60,Female,Prefer not to answer,Mountain,iOS Phone / Tablet
